"","Yr","Mn","station","CO2_concentration","hemisphere"
"568",1966,"Oct","alt",NA,"northern"
"569",1966,"Oct","mlo",319.33,"northern"
"570",1966,"Oct","kum",NA,"northern"
"571",1966,"Oct","chr",NA,"northern"
"572",1966,"Oct","sam",NA,"southern"
"573",1966,"Oct","ker",NA,"southern"
"574",1966,"Oct","nzd",NA,"southern"
"575",1966,"Nov","alt",NA,"northern"
"576",1966,"Nov","mlo",319.77,"northern"
"577",1966,"Nov","kum",NA,"northern"
"578",1966,"Nov","chr",NA,"northern"
"579",1966,"Nov","sam",NA,"southern"
"580",1966,"Nov","ker",NA,"southern"
"581",1966,"Nov","nzd",NA,"southern"
"582",1966,"Dec","alt",NA,"northern"
"583",1966,"Dec","mlo",321.14,"northern"
"584",1966,"Dec","kum",NA,"northern"
"585",1966,"Dec","chr",NA,"northern"
"586",1966,"Dec","sam",NA,"southern"
"587",1966,"Dec","ker",NA,"southern"
"588",1966,"Dec","nzd",NA,"southern"
"589",1967,"Jan","alt",NA,"northern"
"590",1967,"Jan","mlo",322.05,"northern"
"591",1967,"Jan","kum",NA,"northern"
"592",1967,"Jan","chr",NA,"northern"
"593",1967,"Jan","sam",NA,"southern"
"594",1967,"Jan","ker",NA,"southern"
"595",1967,"Jan","nzd",NA,"southern"
"596",1967,"Feb","alt",NA,"northern"
"597",1967,"Feb","mlo",322.7,"northern"
"598",1967,"Feb","kum",NA,"northern"
"599",1967,"Feb","chr",NA,"northern"
"600",1967,"Feb","sam",NA,"southern"
"601",1967,"Feb","ker",NA,"southern"
"602",1967,"Feb","nzd",NA,"southern"
"603",1967,"Mar","alt",NA,"northern"
"604",1967,"Mar","mlo",323.5,"northern"
"605",1967,"Mar","kum",NA,"northern"
"606",1967,"Mar","chr",NA,"northern"
"607",1967,"Mar","sam",NA,"southern"
"608",1967,"Mar","ker",NA,"southern"
"609",1967,"Mar","nzd",NA,"southern"
"610",1967,"Apr","alt",NA,"northern"
"611",1967,"Apr","mlo",324.68,"northern"
"612",1967,"Apr","kum",NA,"northern"
"613",1967,"Apr","chr",NA,"northern"
"614",1967,"Apr","sam",NA,"southern"
"615",1967,"Apr","ker",NA,"southern"
"616",1967,"Apr","nzd",NA,"southern"
"617",1967,"May","alt",NA,"northern"
"618",1967,"May","mlo",325.21,"northern"
"619",1967,"May","kum",NA,"northern"
"620",1967,"May","chr",NA,"northern"
